Project,Project,Val C-Index (Mean),Val C-Index (STD),Val C-Index (CI),Val C-Index (Max),val_idx,C-Index (All),P-Value,95% CI,Val I-AUC (Mean),Val I-AUC (STD)
blca,blca,0.5888933357262829,0.050418630767826884,(0.518-0.653),0.6548672566371682,2,0.5837600879427299,0.02234664521578837,(0.000-0.000),0.6163838956632829,0.08427811742022093
brca,brca,0.5215556959963024,0.02857018648969525,(0.483-0.564),0.5671965317919075,4,0.5222902008769247,0.25366277548448507,(0.000-0.000),0.5389199672734873,0.036335782027880195
gbmlgg,gbmlgg,0.8085257389093912,0.02716358531944858,(0.766-0.836),0.8367614879649891,3,0.8064804172929008,4.3369408202273424e-27,(0.000-0.000),0.8456686989993015,0.04094088576526421
luad,luad,0.5583785966967744,0.038023006582502517,(0.492-0.582),0.582537517053206,1,0.5528229366851919,0.022077602366935206,(0.000-0.000),0.5581106493789956,0.0442657413194621
ucec,ucec,0.5927816848753207,0.05515455718367702,(0.529-0.658),0.6597826086956522,1,0.5889182298306319,0.007124296273358461,(0.000-0.000),0.6182084147326007,0.08559235361867984
