Project,Project,Val C-Index (Mean),Val C-Index (STD),Val C-Index (CI),Val C-Index (Max),val_idx,C-Index (All),P-Value,95% CI,Val I-AUC (Mean),Val I-AUC (STD)
blca,blca,0.5,0.0,(0.500-0.500),0.5,0,0.4950130037268413,0.9862584739962869,(0.000-0.000),0.5,5.551115123125783e-17
brca,brca,0.5,0.0,(0.500-0.500),0.5,0,0.4965432854083818,0.8397990620464015,(0.000-0.000),0.5,0.0
gbmlgg,gbmlgg,0.49783778333735296,0.013695657043494637,(0.480-0.514),0.5142231947483589,3,0.5045088851560428,0.002498425711771424,(0.000-0.000),0.4950137622930404,0.016930499632435758
luad,luad,0.4956676461767039,0.008370031817408047,(0.486-0.509),0.5097697138869505,3,0.49102737235755467,0.8067142815268691,(0.000-0.000),0.4945207679639988,0.008693895370780129
ucec,ucec,0.5,0.0,(0.500-0.500),0.5,0,0.49838371881260246,0.9142243434496444,(0.000-0.000),0.5,0.0
