Project,Project,Val C-Index (Mean),Val C-Index (STD),Val C-Index (CI),Val C-Index (Max),val_idx,C-Index (All),P-Value,95% CI,Val I-AUC (Mean),Val I-AUC (STD)
blca,blca,0.6042417078684255,0.042232599950658166,(0.569-0.675),0.6814159292035398,2,0.6019921173284715,0.004828076614189248,(0.000-0.000),0.629976801072026,0.056208865802144944
brca,brca,0.5212269211090166,0.07896662010560404,(0.430-0.620),0.6221374045801527,3,0.527572142347303,0.036446111502222364,(0.000-0.000),0.5373102267782055,0.08538851578235677
gbmlgg,gbmlgg,0.803310297918701,0.04622031397958811,(0.742-0.857),0.8583013230900555,0,0.7995756343382548,1.1284097488615064e-28,(0.000-0.000),0.8321717412182673,0.06994432388409334
luad,luad,0.6158804658732238,0.027318845407922825,(0.581-0.657),0.6609848484848485,0,0.6121513530358905,0.01194677481315004,(0.000-0.000),0.624756411790769,0.033862899500589495
ucec,ucec,0.5979591350089961,0.07684255384929088,(0.469-0.675),0.6791808873720137,3,0.598843562192679,0.0018522913356933,(0.000-0.000),0.6272640806653194,0.11487759006658836
